公司名称,职位名称,工作年限,教育程度,城市,薪资,福利,经度,纬度,公司规模,融资,地铁线
北京聚道科技有限公司,python开发工程师（后端开发）,不限,本科,北京,15k-30k,精准医学计算，大数据平台开发，云端开发,116.369471,39.980413,15-50人,B轮,10号线_西土城;10号线_牡丹园;10号线_健德门
北京万象新动移动科技有限公司,Python工程师（NLP方向）,1-3年,本科,北京,10k-18k,上市公司、福利待遇佳、上升空间大,116.43092,39.9328,50-150人,上市公司,2号线_东直门;2号线_东四十条;2号线_朝阳门;5号线_东四;5号线_张自忠路;5号线_北新桥;6号线_朝阳门;6号线_东四;13号线_东直门;机场线_东直门
平安科技（深圳）有限公司,11215N-Python开发工程师,3-5年,本科,北京,15k-30k,"五险一金,带薪年假,节日福利,绩效奖金",116.459085,39.949274,2000人以上,不需要融资,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥
生仝智能科技（北京）有限公司,python工程师,不限,硕士,北京,14k-20k,集团子公司，新成立团队，前景广阔，,116.512863,39.791831,15-50人,天使轮,亦庄线_万源街;亦庄线_荣京东街;亦庄线_荣昌东街
鲨鱼快游网络技术（北京）有限公司,Python开发工程师,1-3年,本科,北京,15k-25k,五险一金，免费午餐，假日福利，快速成长,116.372349,40.035948,15-50人,天使轮,
北京香侬慧语科技有限责任公司,python开发工程师,1-3年,本科,北京,15k-20k,大牛带队、亿级融资、地铁周边、零食无限,116.311888,39.983618,50-150人,A轮,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄
北京瀚海星云科技有限公司,Python高级工程师,3-5年,本科,北京,20k-40k,AI领域 前沿技术 专家指导 培训分享,116.296568,40.052451,15-50人,天使轮,13号线_西二旗;昌平线_西二旗
北京车之家信息技术有限公司,pyhton/golang研发工程师,3-5年,本科,北京,20k-30k,"发展空间大,团队氛围好",116.311989,39.979473,2000人以上,上市公司,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里
北京中电广通技术服务有限公司,Python开发工程师,3-5年,本科,北京,10k-20k,"前沿技术,弹性工时,周末双休,五险一金",116.456726,39.927444,50-150人,不需要融资,6号线_呼家楼;6号线_东大桥;10号线_团结湖;10号线_呼家楼;10号线_金台夕照
北京智慧星光信息技术有限公司,python工程师,1-3年,本科,北京,6k-8k,五险一金 全勤奖 交补 定期体检,116.311784,39.984581,500-2000人,不需要融资,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄
